Approved Symbol	Previous Symbols	Synonyms	Chromosome	Ensembl Gene ID	UCSC ID(supplied by UCSC)
ADAM20P2			4q34.2	ENSG00000248574	
ADAM20P3			4q35.2	ENSG00000249162	
ADAM21		ADAM31	14q24.2	ENSG00000139985	uc001xmd.3
ADAM21P1	ADAM21P		14q24.2	ENSG00000235812	uc010ttg.2
ADAM22		MDC2	7q21	ENSG00000008277	uc003ujn.3
ADAM23		MDC3	2q33	ENSG00000114948	uc002vbq.5
ADAM24P			8p22	ENSG00000214607	
ADAM28		eMDCII, MDC-Lm, MDC-Ls, ADAM23	8p21.2	ENSG00000042980	uc003xdy.3
ADAM29		svph1, CT73	4q34.1	ENSG00000168594	uc031shw.1
ADAM30		svph4	1p12	ENSG00000134249	uc001eij.3
ADAM32			8p11.22	ENSG00000197140	uc003xmt.4
ADAM33	C20orf153	DKFZp434K0521, dJ964F7.1	20p13	ENSG00000149451	uc002wit.4
ADAMDEC1		M12.219	8p12	ENSG00000134028	uc003xdz.2
ADAMTS1		C3-C5, METH1, KIAA1346	21q21.3	ENSG00000154734	uc002ymf.3
ADAMTS2		ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI	5q35.3	ENSG00000087116	uc003mjw.3
ADAMTS3		KIAA0366, ADAMTS-4	4q21	ENSG00000156140	uc003hgk.2
ADAMTS4		KIAA0688, ADAMTS-2, ADMP-1	1q31-q32	ENSG00000158859	uc001fyt.4
ADAMTS5		ADMP-2, ADAMTS11	21q21.3	ENSG00000154736	uc002ymg.3
ADAMTS6		ADAM-TS6	5q13	ENSG00000049192	uc003jtp.3
ADAMTS7		ADAM-TS7, DKFZp434H204	15q25.1	ENSG00000136378	uc002bej.4
ADAMTS7P1	ADAMTS7P2		15q25.2	ENSG00000274376	
ADAMTS7P3			15q24.3	ENSG00000261143	
ADAMTS7P4			15q25.3	ENSG00000218052	
ADAMTS8		METH2, FLJ41712, ADAM-TS8	11q25	ENSG00000134917	uc001qgg.4
ADAMTS9		KIAA1312	3p14.1	ENSG00000163638	uc003dmg.3
ADAMTS9-AS1			3p14.1	ENSG00000241158	
ADAMTS9-AS2			3p14.1	ENSG00000241684	uc003dml.4
ADAMTS10		ADAM-TS10	19p13.2	ENSG00000142303	uc002mkj.2
ADAMTS12			5q35	ENSG00000151388	uc003jia.2
ADAMTS13	C9orf8	VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322	9q34	ENSG00000160323	uc004cdv.5
ADAMTS14			10q21	ENSG00000138316	uc001jrg.3
ADAMTS15			11q25	ENSG00000166106	uc010scd.2
ADAMTS16		ADAMTS16s	5p15	ENSG00000145536	uc003jdl.3
ADAMTS17		FLJ32769, FLJ16363	15q24	ENSG00000140470	uc002bvv.1
ADAMTS18	ADAMTS21		16q23	ENSG00000140873	uc002ffc.4
ADAMTS19			5q23.3	ENSG00000145808	uc003kvb.1
ADAMTS19-AS1		RP11-346A9.1	5q23.3	ENSG00000249421	
ADAMTS20		GON-1	12q12	ENSG00000173157	uc010skx.2
ADAMTSL1	C9orf94	ADAMTSR1, FLJ35283	9p21.3	ENSG00000178031	uc003zne.4
ADAMTSL2		KIAA0605	9q34.3	ENSG00000197859	uc004cei.3
ADAMTSL3		KIAA1233, punctin-2	15q25.2	ENSG00000156218	uc002bjz.4
ADAMTSL4	TSRC1	DKFZP434K1772	1q21.2	ENSG00000143382	uc001eux.4
ADAMTSL4-AS1	C1orf138	FLJ45786	1q21.2	ENSG00000203804	
ADAMTSL5	THSD6		19p13.3	ENSG00000185761	uc002ltd.2
ADAP1	CENTA1	GCS1L	7p22.3	ENSG00000105963	uc003sjo.5
ADAP2	CENTA2		17q11.2	ENSG00000184060	uc002hfx.3
ADAR	IFI4, G1P1	ADAR1	1q21.3	ENSG00000160710	uc001ffh.3
ADARB1		ADAR2, DRADA2, ADAR2g, DRABA2, RED1, hRED1, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2a, ADAR2b, ADAR2c, ADAR2d	21q22.3	ENSG00000197381	uc002zgt.2
ADARB2		RED2, hRED2, ADAR3	10p15.3	ENSG00000185736	uc009xhq.3
ADARB2-AS1	C10orf109, NCRNA00168	bA466B20.1	10p15.3	ENSG00000205696	uc001ign.3
ADAT1			16q23	ENSG00000065457	uc002feo.2
ADAT2	DEADC1	dJ20N2.1, TAD2	6q24.2	ENSG00000189007	uc003qjj.3
ADAT3		TAD3	19p13.3	ENSG00000213638	uc002luh.4
ADCK1		FLJ39600	14q24.3	ENSG00000063761	uc001xui.3
ADCK2		MGC20727	7q34	ENSG00000133597	uc003vvy.1
ADCK3	CABC1	COQ8, SCAR9	1q42.11	ENSG00000163050	uc001hqn.1
ADCK4		FLJ12229, COQ8	19q13.2	ENSG00000123815	uc002oor.2
ADCK5		FLJ35454	8q24.3	ENSG00000173137	uc003zch.4
ADCP1			6		
ADCY1		AC1	7p12.3	ENSG00000164742	uc003tne.4
ADCY2		HBAC2, KIAA1060, AC2	5p15.3	ENSG00000078295	uc003jdz.1
ADCY3		AC3	2p23.3	ENSG00000138031	uc002rfs.4
ADCY4		AC4	14q11.2	ENSG00000129467	uc001woy.3
ADCY5		AC5	3q21.1	ENSG00000173175	uc003egh.2
ADCY6		AC6	12q13.12	ENSG00000174233	uc001rsh.4
ADCY7		KIAA0037, AC7	16q12.1	ENSG00000121281	uc002egd.2
ADCY8	ADCY3	HBAC1, AC8	8q24	ENSG00000155897	uc003ytd.4
ADCY9		AC9	16p13.3	ENSG00000162104	uc002cvx.3
ADCY10		SAC, Sacy, SACI, HCA2, RP1-313L4.2	1q24	ENSG00000143199	uc001ger.3
ADCY10P1			6p21.1	ENSG00000161912	uc010jxi.1
ADCYAP1		PACAP	18p11	ENSG00000141433	uc010dkh.4
ADCYAP1R1		PAC1, PACAPR, PAC1R	7p14.3	ENSG00000078549	uc003tcg.3
ADD1			4p16.3	ENSG00000087274	uc003gfq.3
ADD2		ADDB	2p13.3	ENSG00000075340	uc021vjc.1
ADD3	ADDL		10q25.2	ENSG00000148700	uc001kyv.3
ADD3-AS1			10q25.1		
ADFN			Xq26.3-q27.1		
ADGB	C6orf103	FLJ23121, dJ408K24.1, CAPN16	6q24.2	ENSG00000118492	uc010khx.3
ADGRA1	GPR123	KIAA1828	10q26	ENSG00000197177	uc001llw.3
ADGRA1-AS1	GPR123-AS1		10q26.3	ENSG00000256925	
ADGRA2	GPR124	TEM5, DKFZp434C211, DKFZp434J0911, KIAA1531, FLJ14390	8p11.22	ENSG00000020181	uc003xkj.3
ADGRA3	GPR125	FLJ38547, PGR21	4p15.31	ENSG00000152990	uc003gqm.2
ADGRB1	BAI1		8q24.3	ENSG00000181790	uc003ywm.3
ADGRB2	BAI2		1p35	ENSG00000121753	uc001btn.3
ADGRB3	BAI3	KIAA0550	6q12	ENSG00000135298	uc003pev.4
ADGRD1	GPR133	DKFZp434B1272, PGR25	12q24.33	ENSG00000111452	uc001uit.4
ADGRD2	GPR144	PGR24	9q34.11	ENSG00000180264	uc033dhk.1
ADGRE1	TM7LN3, EMR1		19p13.3	ENSG00000174837	uc002mfw.4
ADGRE2	EMR2	CD312	19p13.12	ENSG00000127507	uc002mzp.2
ADGRE3	EMR3		19p13.12	ENSG00000131355	uc002mzi.5
ADGRE4P	GPR127, EMR4, EMR4P	PGR16	19p13.2	ENSG00000268758	uc010xjk.2
ADGRE5	CD97	TM7LN1	19p13.12	ENSG00000123146	uc002myl.3
ADGRF1	GPR110	hGPCR36, PGR19	6p21.1	ENSG00000153292	uc003oyt.3
ADGRF2	GPR111	hGPCR35, PGR20	6p12.3	ENSG00000164393	uc003oyy.3
ADGRF3	GPR113	hGPCR37, PGR23	2p24.1	ENSG00000173567	uc002rhe.4
ADGRF4	GPR115	FLJ38076, PGR18	6p12.3	ENSG00000153294	uc003oza.1
ADGRF5	GPR116	DKFZp564O1923, KIAA0758	6p12.3	ENSG00000069122	uc003oyo.4
ADGRF5P1	GPR116P1		9q13	ENSG00000227582	
ADGRF5P2	GPR116P2		9p11.1	ENSG00000204818	
ADGRG1	GPR56	TM7LN4, TM7XN1	16q21	ENSG00000205336	uc002emc.2
ADGRG2	GPR64	HE6, TM7LN2, EDDM6	Xp22.13	ENSG00000173698	uc004cyx.3
ADGRG3	GPR97	Pb99, PGR26	16q13	ENSG00000182885	uc002emh.3
ADGRG4	GPR112	RP1-299I16, PGR17	Xq26.3	ENSG00000156920	uc004ezu.1
ADGRG5	GPR114	PGR27	16q13	ENSG00000159618	uc002ely.3
ADGRG6	GPR126	FLJ14937	6q24.2	ENSG00000112414	uc010khe.3
ADGRG7	GPR128	FLJ14454	3q12.3	ENSG00000144820	uc003duc.4
ADGRL1	LPHN1	KIAA0821, CIRL1, LEC2	19p13.2	ENSG00000072071	uc010xnn.2
ADGRL2	LPHH1, LPHN2	KIAA0786, LEC1	1p31.1	ENSG00000117114	uc001diu.3
ADGRL3	LPHN3	KIAA0768, LEC3	4q13.1	ENSG00000150471	uc010ihh.3
ADGRL3-AS1	LPHN3-AS1		4q13.1	ENSG00000248692	
ADGRL4	ELTD1	ETL	1p33-p32	ENSG00000162618	uc001diq.4
ADGRV1	USH2C, MASS1, GPR98	DKFZp761P0710, KIAA0686, FEB4, VLGR1	5q13	ENSG00000164199	uc003kju.3
ADH1A	ADH1		4q23	ENSG00000187758	uc003hur.2
ADH1B	ADH2		4q23	ENSG00000196616	uc003hus.5
ADH1C	ADH3		4q23	ENSG00000248144	uc032trd.1
ADH4		ADH-2	4q23	ENSG00000198099	uc003hun.3
ADH5	FDH	ADH-3, ADHX	4q23	ENSG00000197894	uc003hui.4
ADH5P2			1p31.1	ENSG00000232676	
ADH5P3			1q43	ENSG00000223694	
ADH5P4	ADH5B	bA707M13.2	6q12	ENSG00000233859	
ADH6		ADH-5	4q23	ENSG00000172955	uc003huo.2
ADH7		ADH-4	4q23-q24	ENSG00000196344	uc021xqj.1
ADHFE1		ADHFe1, FLJ32430	8q12.3	ENSG00000147576	uc003xwb.4
ADI1		SIPL, MTCBP-1, ARD, APL1, FLJ10913, HMFT1638, mtnD	2p25.2	ENSG00000182551	uc002qxp.4
ADIG		MGC39724, SMAF1, RP5-1100H13.2	20q11.23	ENSG00000182035	uc002xjb.1
ADIPOQ	ACDC	ACRP30, AdipoQ, apM1, GBP28, adiponectin	3q27	ENSG00000181092	uc003fra.3
ADIPOQ-AS1			3q27.3	ENSG00000226482	uc031sct.1
ADIPOR1		PAQR1, ACDCR1	1q32.1	ENSG00000159346	uc001gyq.6
ADIPOR1P1			10p12.31	ENSG00000232497	
ADIPOR1P2			14q32.13	ENSG00000258805	
ADIPOR2		PAQR2, ACDCR2	12p13	ENSG00000006831	uc001qjm.3
ADIRF	C10orf116	APM2, AFRO	10q23.31	ENSG00000148671	uc001ked.2
ADIRF-AS1			10q23.2	ENSG00000272734	
ADK		AK	10q22.2	ENSG00000156110	uc001jwi.3
ADM		AM	11p15.4	ENSG00000148926	uc001mil.1
ADM2		AM2, FLJ21135	22q13.33	ENSG00000128165	uc003blj.3
ADM5	C19orf76	AM5	19q13.33	ENSG00000224420	uc002pph.2
ADNP		KIAA0784, ADNP1	20q13.13	ENSG00000101126	uc002xvu.2
ADNP-AS1			20q13.13	ENSG00000259456	
ADNP2	ZNF508	KIAA0863	18q23	ENSG00000101544	uc032hie.1
ADO	C10orf22	FLJ14547	10q21.3	ENSG00000181915	uc001jmg.3
ADORA1		RDC7	1q32.1	ENSG00000163485	uc001gzf.1
ADORA2A	ADORA2	RDC8	22q11.23	ENSG00000128271	uc032qjm.1
ADORA2A-AS1	C22orf45	FLJ34651	22q11.23		uc002zzz.2
ADORA2B			17p12	ENSG00000170425	uc002gpd.1
ADORA2BP1	ADORA2BP		1q32.2	ENSG00000236136	
ADORA3		AD026	1p13.2	ENSG00000282608	uc001ebh.4
ADPGK		DKFZp434B195, ADP-GK	15q24.1	ENSG00000159322	uc002avf.4
ADPGK-AS1			15q24.1	ENSG00000260898	uc002avk.1
ADPRH		ARH1	3q13.31-q13.33	ENSG00000144843	uc003ecs.3
ADPRHL1		ARH2	13q34	ENSG00000153531	uc001vtq.2
ADPRHL2		ARH3, FLJ20446	1p34.3	ENSG00000116863	uc001bzt.3
ADPRM	C17orf48	MDS006	17p13.1	ENSG00000170222	uc002gmt.3
ADRA1A	ADRA1C	ADRA1L1	8p21.2	ENSG00000120907	uc003xfh.1
ADRA1B			5q33.3	ENSG00000170214	uc003lxt.1
ADRA1D		ADRA1R, ADRA1A, ADRA1	20p13	ENSG00000171873	uc002wkr.2
ADRA2A	ADRA2, ADRA2R	ADRAR	10q25.2	ENSG00000150594	uc001kzo.3
ADRA2B	ADRA2L1, ADRA2RL1	ADRARL1	2q11.2	ENSG00000274286	uc032nvj.1
ADRA2C	ADRA2L2, ADRA2RL2	ADRARL2	4p16.3	ENSG00000184160	uc003ghm.3
ADRB1	ADRB1R		10q25.3	ENSG00000043591	uc001lba.3
ADRB2	ADRB2R	ADRBR, BAR, B2AR	5q31-q32	ENSG00000169252	uc003lpr.2
ADRB3			8p11.23	ENSG00000188778	uc003xkr.2
ADRBK1		GRK2, BARK1	11q13	ENSG00000173020	uc009yrn.1
ADRBK2		GRK3, BARK2	22q11	ENSG00000100077	uc003abx.4
ADRM1		GP110, Rpn13, ARM1	20q13.33	ENSG00000130706	uc002yco.4
ADSL			22q13.1	ENSG00000239900	uc003ayp.4
ADSS			1q44	ENSG00000035687	uc001iaj.3
ADSSL1		FLJ38602	14q32.33	ENSG00000185100	uc001ype.4
ADTRP	C6orf105	dJ413H6.1, AIG1L	6p24.1	ENSG00000111863	uc011dip.2
AEBP1		ACLP	7p	ENSG00000106624	uc003tkb.4
AEBP2		MGC17922	12p12.3	ENSG00000139154	uc001ref.2
AEN	ISG20L1	FLJ12484, FLJ12562	15q26.1	ENSG00000181026	uc002bmt.2
AES		GRG5, TLE5	19p13.3	ENSG00000104964	uc002lwx.1
AF8T			3		
AFA			reserved		
AFAP1		AFAP-110, AFAP	4p16	ENSG00000196526	uc011bwk.1
AFAP1-AS1	AFAP1AS, AFAP1-AS	MGC10981	4p16.1		uc003gkd.4
AFAP1L1		FLJ36748	5q33.1	ENSG00000157510	uc003lqh.3
AFAP1L2	KIAA1914	FLJ14564, Em:AC005383.4, XB130	10q26.11	ENSG00000169129	uc001lbn.4
AFD1			9q32		
AFF1	PBM1, MLLT2	AF-4, AF4	4q21.3	ENSG00000172493	uc011ccz.2
AFF2	FMR2	FRAXE	Xq28	ENSG00000155966	uc004fcp.3
AFF2-IT1			Xq28	ENSG00000223516	
AFF3	LAF4	MLLT2-like	2q11.2-q12	ENSG00000144218	uc002taf.3
AFF4		AF5Q31, MCEF	5q31	ENSG00000072364	uc003kyd.3
AFG3L1P	AFG3, AFG3L1		16q24.3	ENSG00000223959	uc002fpz.1
AFG3L2	SCA28	SPAX5	18p11.21	ENSG00000141385	uc002kqz.2
AFG3L2P1	AFG3L2P		8p11.1	ENSG00000253606	
AFM		ALB2, ALBA	4q13.3	ENSG00000079557	uc003hhb.3
AFMID		DKFZp686F03259, KF	17q25.3	ENSG00000183077	uc002jva.3
AFP	HPAFP	FETA	4q13.3	ENSG00000081051	uc003hgz.2
AFTPH		MGC33965, FLJ20080, FLJ23793, Nbla10388	2p14	ENSG00000119844	uc002scz.3
AGA		ASRG	4q34.3	ENSG00000038002	uc003iuu.2
AGAP1	CENTG2	KIAA1099, GGAP1	2q37	ENSG00000157985	uc002vvs.3
AGAP1-IT1			2q37.2	ENSG00000235529	
AGAP2	CENTG1		12q13.2	ENSG00000135439	uc001spq.3
AGAP2-AS1		LOC100130776, PUNISHER	12q14.1	ENSG00000255737	
AGAP3	CENTG3		7q36.1	ENSG00000133612	uc003wjg.2
AGAP4	CTGLF1, AGAP8, CTGLF5	Em:AC012044.1, MRIP2	10q11.21	ENSG00000188234	
AGAP5	CTGLF2	Em:AC073389.1	10q22.2	ENSG00000172650	uc009xri.3
AGAP6	CTGLF3	bA324H6.1	10q11.23	ENSG00000204149	uc001jix.4
AGAP7P	CTGLF4, AGAP7	bA109G10.1	10q11.22	ENSG00000264204	uc001jio.4
AGAP9	CTGLF6	bA301J7.2, FLJ00312	10q11.22	ENSG00000204172	uc031wfn.1
AGAP10P	AGAP10, CTGLF7, CTGLF10P	bA358L16.1, bA144G6.2	10q11.22	ENSG00000230869	
AGAP11		KIAA1975	10q23.2	ENSG00000271880	uc001kee.2
AGAP12P	CTGLF12P	bA164N7.2	10q11.22	ENSG00000265018	uc031wfz.1
AGAP13P	CTGLF9P	bA548K23.1	10q11.22	ENSG00000243289	
AGAP14P	CTGLF11P	bA145E20.1	10q11.22	ENSG00000279058	
AGBL1		FLJ32310, CCP4	15q25.3	ENSG00000166748	uc002blz.1
AGBL1-AS1			15q25.3	ENSG00000260125	
AGBL2		FLJ23598, CCP2	11p11.2	ENSG00000165923	uc001ngg.3
AGBL3		MGC32955, CCP3	7q33	ENSG00000146856	uc011kpw.2
AGBL4		FLJ14442, CCP6	1p33	ENSG00000186094	uc001cru.2
AGBL4-IT1			1p33	ENSG00000225623	uc031tzy.1
AGBL5		FLJ21839, CCP5	2p23.3	ENSG00000084693	uc002rie.3
AGBL5-AS1			2p23.3	ENSG00000231636	uc032nhs.1
AGBL5-IT1			2p23.3	ENSG00000229122	
AGER		RAGE	6p21.3	ENSG00000204305	uc003oal.2
AGFG1	HRB	RIP, RAB	2q36	ENSG00000173744	uc002vpd.2
AGFG2	HRBL	RABR	7q22.1	ENSG00000106351	uc003uvf.3
AGGF1		VG5Q, HSU84971, FLJ10283, GPATC7, GPATCH7	5q13.3	ENSG00000164252	uc003ket.3
AGGF1P1			4q35.2	ENSG00000214273	
AGGF1P2			10q26.3	ENSG00000233435	
AGGF1P3			3p12.3	ENSG00000241532	
AGGF1P4			16p11.1	ENSG00000261689	
AGGF1P5			16p11.1	ENSG00000260680	
AGGF1P6			16p11.1	ENSG00000259836	
AGGF1P7			16p11.1	ENSG00000260994	
AGGF1P8			16p11.2	ENSG00000261752	
AGGF1P9			16p11.1	ENSG00000260427	
AGGF1P10			20q11.1		
AGK	MULK	FLJ10842	7q34	ENSG00000006530	uc003vwi.2
AGKP1		AGKY1	Yq11.21	ENSG00000226555	
AGL			1p21	ENSG00000162688	uc001dsi.1
AGMAT		FLJ23384	1p36.13	ENSG00000116771	uc001awv.2
AGMO	TMEM195	FLJ16237	7p21.1	ENSG00000187546	uc003stb.1
AGMX2			Xp22		
AGO1	EIF2C1	hAGO1	1p34.3	ENSG00000092847	uc001bzl.3
AGO2	EIF2C2	hAGO2, Q10	8q24.3	ENSG00000123908	uc003yvn.3
AGO3	EIF2C3	hAGO3, FLJ12765	1p34	ENSG00000126070	uc001bzp.3
AGO4	EIF2C4	hAGO4, KIAA1567, FLJ20033	1p34	ENSG00000134698	uc001bzj.2
AGPAT1		LPAAT-alpha	6p21.3	ENSG00000204310	uc003oae.3
AGPAT2	BSCL	LPAAT-beta	9q34.3	ENSG00000169692	uc004cii.1
AGPAT3		LPAAT-gamma	21q22.3	ENSG00000160216	uc002zdv.3
AGPAT4		LPAAT-delta, dJ473J16.2	6q25.3	ENSG00000026652	uc003qtr.1
AGPAT4-IT1	C6orf59, NCRNA00241	FLJ23112	6q25.3		uc003qtu.4
AGPAT5		FLJ11210, LPAAT-e, LPAAT-epsilon	8p23.1	ENSG00000155189	uc003wqo.3
AGPAT5P1			Yp11.2	ENSG00000234652	
AGPS		ADHAPS, ADAS, ALDHPSY, ADPS, ADAP-S	2q	ENSG00000018510	uc002ull.2
AGR2		XAG-2, HAG-2, AG2, PDIA17	7p21.3	ENSG00000106541	uc003str.3
AGR3		HAG3, hAG-3, BCMP11, PDIA18	7p21.1	ENSG00000173467	uc003sts.3
AGRN		AGRIN	1p36.33	ENSG00000188157	uc001ack.2
AGRP		Agrt, ART, ASIP2	16q22	ENSG00000159723	uc002etg.1
AGT	SERPINA8		1q42.2	ENSG00000135744	uc001hty.5
AGTPBP1		KIAA1035, Nna1, CCP1	9q21.33	ENSG00000135049	uc033czo.1
AGTR1	AGTR1B	AT1, AT2R1, AGTR1A, AT2R1A, HAT1R, AG2S, AT2R1B, AT1B	3q24	ENSG00000144891	uc003ewh.4
AGTR2		AT2, MRX88	Xq22-q23	ENSG00000180772	uc004eqh.4
AGTRAP		ATRAP	1p36.22	ENSG00000177674	uc001asv.3
AGXT	SPAT	AGXT1, PH1, AGT, SPT, AGT1	2q37.3	ENSG00000172482	uc002waa.4
AGXT2		AGT2	5p13	ENSG00000113492	uc003jjf.3
AHCTF1		ELYS	1q44	ENSG00000153207	uc001ibv.3
AHCTF1P1	AHCTF1P	ELYS-like	2q24.2		uc031rpw.1
AHCY		SAHH	20q11.22	ENSG00000101444	uc002xai.3
AHCYL1		XPVKONA, IRBIT, PPP1R78	1p13	ENSG00000168710	uc001dyx.3
AHCYL2		KIAA0828	7q32.1	ENSG00000158467	uc011kov.2
AHCYP1			10q11.22		
AHCYP2			9q33.2	ENSG00000238181	
AHCYP3			2q12.1	ENSG00000233955	
AHCYP4			2q22.1	ENSG00000232992	
AHCYP5			2q32.3	ENSG00000213107	
AHCYP6			11q14.1		
AHCYP7			15q21.2	ENSG00000259465	
AHCYP8			1q44	ENSG00000242529	
AHDC1		DJ159A19.3, RP1-159A19.1	1p36.13	ENSG00000126705	uc009vsy.3
AHI1		FLJ20069, ORF1, JBTS3	6q23.2	ENSG00000135541	uc003qgj.3
AHNAK		MGC5395	11q12-q13	ENSG00000124942	uc001ntl.3
AHNAK2	C14orf78		14q32.33	ENSG00000185567	uc010axc.1
AHR		bHLHe76	7p15	ENSG00000106546	uc011jxz.1
AHRR	AHH, AHHR	KIAA1234, bHLHe77	5p15.33	ENSG00000063438	uc003jaw.3
AHSA1	C14orf3	p38, Aha1	14q24.3	ENSG00000100591	uc001xtw.3
AHSA2		DKFZp564C236, Hch1	2p14	ENSG00000173209	uc002sbc.2
AHSG		FETUA, A2HS, HSGA	3q27.3	ENSG00000145192	uc003fqk.4
AHSP	ERAF	EDRF	16p11.1	ENSG00000169877	uc002ecj.3
AIC			Xp22		
AICDA		HIGM2, CDA2, ARP2, AID	12p13	ENSG00000111732	uc001qur.2
AIDA	C1orf80	FLJ12806	1q41	ENSG00000186063	uc001hnn.3
AIF1		IRT-1, AIF-1, Em:AF129756.17, IBA1	6p21.3	ENSG00000204472	uc003nuy.3
AIF1L	C9orf58	IBA2, FLJ12783	9q34.13-q34.3	ENSG00000126878	uc004cad.2
AIFM1	PDCD8, NAMSD	AIF, CMTX4	Xq26.1	ENSG00000156709	uc004evg.3
AIFM1P1			10p12.31	ENSG00000225509	
AIFM2	AMID	FLJ14497, PRG3	10q22.2	ENSG00000042286	uc001jqp.2
AIFM3		AIFL, FLJ30473	22q11.21	ENSG00000183773	
AIG1		dJ95L4.1, AIG-1, FLJ10485	6q24.1	ENSG00000146416	uc003qjh.4
AIG1P1			5p13.1	ENSG00000249089	
AIH3			Xq22-q28		
AIM1	ST4	CRYBG1	6q21	ENSG00000112297	uc003prh.3
AIM1L		CRYBG2, FLJ38020	1p35	ENSG00000176092	uc001bmd.4
AIM2		PYHIN4	1q22	ENSG00000163568	uc001ftj.1
AIMP1	SCYE1	EMAPII, EMAP-2, p43	4q24	ENSG00000164022	uc003hyh.3
AIMP1P1	SCYE1P	bA400P21.1	20p12.1	ENSG00000234187	
AIMP1P2			1q24.3	ENSG00000227177	
AIMP2		p38, PRO0992, JTV-1, JTV1	7p22.1	ENSG00000106305	uc003spo.3
AIP		XAP2, ARA9, FKBP16	11q13.3	ENSG00000110711	uc001olv.3
AIPL1	LCA4		17p13.1	ENSG00000129221	uc002gcp.4
AIRE	APECED	PGA1, APS1	21q22.3	ENSG00000160224	uc002zei.3
AIRN		AIR, NCRNA00088, IGF2RAS, IGF2R-AS1	6q25.3	ENSG00000268257	uc031sqy.1
AIS1			1p33-p31		
AIS2			7q11.22		
AIS3			8		
AJAP1		SHREW1, SHREW-1, MOT8	1p36.32	ENSG00000196581	uc001aln.3
AJUBA	JUB	MGC15563	14q11.2	ENSG00000129474	uc001whz.4
AK1			9q34.1	ENSG00000106992	uc004bsm.4
AK2			1p35.1	ENSG00000004455	uc001bwp.2
AK2P1		AK2B	1p32.1		
AK2P2			2p23.1	ENSG00000242272	
AK3	AK6, AK3L1	AKL3L1	9p24.1	ENSG00000147853	uc003ziq.3
AK3P2		HsT26053	8q24.3	ENSG00000250115	
AK3P3			7p15.3	ENSG00000230042	
AK3P4			5q22.3	ENSG00000248722	
AK3P5			10p11.22	ENSG00000228816	
AK3P6			12q24.33		
AK4	AK3, AK3L1		1p31.3	ENSG00000162433	uc001dby.3
AK4P1	AK3P1		17q11.2		
AK4P2			5q11.2	ENSG00000249410	
AK4P3	AK3L2	AK3L2P	12p11.22	ENSG00000233381	
AK4P4			9p24.1	ENSG00000223621	
AK4P5			6q14.1	ENSG00000217377	
AK4P6			4q31.3	ENSG00000235606	
AK5			1p31	ENSG00000154027	uc001dhn.3
AK6		CINAP	5q13.2	ENSG00000085231	
AK6P1			12p11.1	ENSG00000256614	
AK6P2			12q12	ENSG00000257173	
AK7		FLJ32864	14q32.31	ENSG00000140057	uc001yfn.3
AK8	C9orf98	FLJ32704	9q34.13	ENSG00000165695	uc004cbu.1
AK9	C6orf224, AKD2, C6orf199, AKD1	FLJ42177, FLJ25791, dJ70A9.1, MGC26954	6q21	ENSG00000155085	
AKAP1	PRKA1	AKAP121, AKAP149, SAKAP84, S-AKAP84, AKAP84, D-AKAP1, PPP1R43, TDRD17	17q22	ENSG00000121057	uc002iux.3
AKAP2	PRKA2	AKAP-KL, KIAA0920, DKFZp564L0716	9q31.3	ENSG00000241978	
AKAP3		FSP95, SOB1, AKAP110, CT82	12p13.32	ENSG00000111254	uc031qfv.2
AKAP4		p82, hAKAP82, AKAP82, Fsc1, HI, CT99	Xp11.2	ENSG00000147081	uc004dow.1
AKAP5		AKAP75, AKAP79	14q23.3	ENSG00000179841	uc001xhd.4
AKAP6		KIAA0311, mAKAP, AKAP100, PRKA6, ADAP6	14q12	ENSG00000151320	uc001wrq.3
AKAP7		AKAP18, AKAP15	6q23.2	ENSG00000118507	uc003qck.4
AKAP8		AKAP95, DKFZp586B1222	19p13.12	ENSG00000105127	uc002nav.3
AKAP8L		NAKAP95, HAP95	19p13.12	ENSG00000011243	uc002naw.1
AKAP8P1			9p23	ENSG00000234146	
AKAP9		KIAA0803, AKAP350, AKAP450, CG-NAP, YOTIAO, HYPERION, PRKA9, MU-RMS-40.16A, PPP1R45, LQT11	7q21-q22	ENSG00000127914	uc003ulg.3
AKAP10		D-AKAP2, PRKA10, MGC9414	17p11.1	ENSG00000108599	uc002gwo.4
AKAP11		KIAA0629, AKAP220, PRKA11, FLJ11304, DKFZp781I12161, PPP1R44	13q	ENSG00000023516	uc001uys.2
AKAP12		AKAP250, SSeCKS	6q24-q25	ENSG00000131016	uc011eep.3
AKAP13	LBC	Ht31, BRX, AKAP-Lbc, c-lbc, PROTO-LB, HA-3, ARHGEF13	15q24-q25		uc002blu.2
AKAP14		AKAP28	Xq24	ENSG00000186471	uc004ese.3
AKAP17A	CXYorf3, SFRS17A	XE7, XE7Y, DXYS155E, MGC39904, 721P, CCDC133	Xp22.33 and Yp11.32	ENSG00000197976	uc004cqa.3
AKAP17BP	AKAP16B, AKAP16BP		Xq24	ENSG00000214992	
AKIP1	C11orf17	BCA3	11p15.3	ENSG00000166452	uc001mgx.3
AKIRIN1	C1orf108	FLJ12666	1p34.3	ENSG00000174574	uc001ccw.3
AKIRIN1P1			12q21.31	ENSG00000257786	
AKIRIN1P2			Xq12	ENSG00000228125	
